Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	173	42.0181	-38.0249	84.4597	
2	190	41.9784	-38.0762	84.4859	
2	207	41.9715	-38.0604	84.4462	
2	223	41.9384	-38.0569	84.5528	
2	240	41.9157	-38.0181	84.5514	
2	257	41.8768	-38.0204	84.5939	
2	273	41.8193	-38.0491	84.618	
2	290	41.8219	-38.032	84.6546	
2	307	41.8129	-37.9733	84.6761	
2	323	41.7802	-37.8799	84.7362	
2	340	41.7062	-37.9835	84.7535	
2	357	41.6502	-37.9598	84.7593	
2	373	41.6464	-37.8913	84.8111	
2	390	41.6083	-37.8991	84.8136	
2	407	41.5737	-37.8374	84.8717	
2	423	41.5494	-37.8499	84.8835	
2	440	41.4981	-37.8567	84.9033	
2	457	41.4686	-37.787	84.9332	
2	473	41.4311	-37.7943	84.9473	
2	490	41.3936	-37.787	84.9565	
2	507	41.3932	-37.7567	84.9564	
2	523	41.3325	-37.754	84.9518	
2	540	41.3225	-37.7196	84.9572	
2	557	41.2439	-37.8444	84.9983	
2	573	41.2448	-37.721	84.9476	
2	590	41.2285	-37.7393	85.0545	
2	607	41.2144	-37.77	84.9852	
2	623	41.1137	-37.8017	85.0145	
2	640	41.151	-37.7809	84.9983	
2	657	41.0666	-37.868	84.9446	
2	673	41.0768	-37.7433	85.0259	
2	690	41.1122	-37.7388	84.9856	
2	707	41.0278	-37.7539	84.9751	
2	723	41.0243	-37.8086	84.9355	
2	740	41.048	-37.7273	84.9106	
2	757	40.9593	-37.7908	84.9507	
2	773	40.9355	-37.7768	84.9102	
2	790	40.9827	-37.6736	84.8863	
2	807	40.9131	-37.723	84.8041	
2	823	40.9646	-37.6458	84.7708	
2	840	40.8793	-37.607	84.7972	
2	857	40.9112	-37.6042	84.6921	
2	873	40.9037	-37.5155	84.7157	
2	890	40.8664	-37.5246	84.6137	
2	907	40.8476	-37.4238	84.6366	
2	923	40.9037	-37.225	84.5663	
2	940	40.8602	-37.1829	84.5414	
2	957	40.8719	-37.0234	84.4761	
2	973	40.8164	-36.9842	84.5254	
2	990	40.827	-36.8676	84.3943	
2	1007	40.8371	-36.7159	84.3737	
2	1023	40.8512	-36.4802	84.332	
2	1040	40.8802	-36.2945	84.2708	
2	1057	42.4018	-33.6451	82.2412	
2	1073	42.3086	-33.4515	82.2193	
2	1090	42.3083	-33.1683	82.2918	
2	1107	42.27	-32.9702	82.188	
2	1123	42.2771	-32.8123	82.1638	
2	1140	42.2161	-32.4948	82.2291	
2	1157	42.2062	-32.2993	82.2082	
2	1173	42.1632	-32.0942	82.188	
2	1190	42.153	-31.833	82.1966	
2	1207	42.1012	-31.5888	82.2206	
2	1223	42.0897	-31.3143	82.2167	
2	1240	42.0518	-31.0469	82.2178	
2	1257	42.0575	-30.7607	82.2492	
2	1273	41.9899	-30.5477	82.2363	
2	1290	41.9654	-31.0472	80.2019	
2	1307	41.9865	-30.7156	80.2683	
2	1323	41.9237	-30.5161	80.2372	
2	1340	41.9361	-30.1849	80.356	
2	1357	41.8769	-29.9178	80.4526	
2	1373	41.8567	-29.6588	80.5077	
2	1390	41.7736	-29.4197	80.5194	
2	1407	41.7856	-29.1427	80.5941	
2	1423	41.6343	-29.0709	80.6351	
2	1440	41.6513	-28.807	80.6795	
2	1457	41.567	-28.5936	80.7491	
2	1473	41.5269	-28.4103	80.7942	
2	1490	41.6491	-28.1999	80.6534	
2	1507	41.5771	-28.09	80.7069	
2	1523	41.5163	-27.9784	80.7458	
