# No 90	"weighed coord, correcton -90deg in X and Z shift. MatchCarm on pig with xyz rot and xyz shift. Option 1: used corrected -90."							manshift																									
# filename parts																																	
"#Surface (Epi, LVEndo, RVEpi)"																																	
"#stim positions: exact, on surface"																																	
"#Surface, Elektrode label, ExactPosition,Projected on ventricular surface, manshift, activation time rel to stim."																																	
"# lines starting with # are ignored, empty line between measurement blocks"																																	
pig10_2+001_1155_1184_Pos02_LVEndo																																	
LVEndo																																	
-17.0	-16.8	797.3	-17.0	-16.9	797.3																												
'Epi'	'Epi1'	-40.9	14.7	830.9	-40.4	20.9	834.2	0.0	0.0	0.0																							
'Epi'	'Epi2'	-41.9	11.8	830.1	-40.4	20.9	834.2	0.0	0.0	0.0																							
'Epi'	'Epi3'	-45.2	0.5	829.4	-40.4	20.9	834.2	0.0	0.0	0.0																							
'Epi'	'Epi4'	-45.2	-2.6	829.8	-44.3	-21.2	828.6	0.0	0.0	0.0																							
'Epi'	'Epi5'	-44.5	-10.4	834.4	-44.3	-21.2	828.6	0.0	0.0	0.0																							
'Epi'	'Epi6'	-43.8	-12.8	837.6	-44.3	-21.2	828.6	0.0	0.0	0.0																							
'Epi'	'Epi7'	-46.6	-15.0	842.5	-44.3	-21.2	828.6	0.0	0.0	0.0																							
'Epi'	'Epi8'	-39.4	-16.0	849.4	-31.3	-2.9	856.3	0.0	0.0	0.0																							
'Epi'	'Epi9'	-34.1	-16.1	857.9	-30.7	-3.0	857.4	0.0	0.0	0.0																							
'Epi'	'Epi10'	-32.7	-15.5	860.6	-29.2	-3.3	859.9	0.0	0.0	0.0																							
'Epi'	'Epi11'	-27.2	-14.5	869.4	-20.3	-13.1	872.3	0.0	0.0	0.0																							
'Epi'	'Epi12'	-25.4	-14.1	872.1	-20.3	-13.1	872.3	0.0	0.0	0.0																							
'Epi'	'Epi13'	-18.4	-14.3	880.4	-17.2	-13.4	877.0	0.0	0.0	0.0																							
'Epi'	'Epi14'	-18.5	-13.6	883.5	-16.6	-12.5	877.4	0.0	0.0	0.0																							
'Epi'	'Epi15'	-10.9	-13.8	892.4	-12.4	-10.5	878.9	0.0	0.0	0.0																							
'Epi'	'Epi16'	-9.4	-14.3	895.5	-12.3	-10.7	878.9	0.0	0.0	0.0																							
'LVEndo'	'LVEndo1'	5.0	9.0	816.8	4.6	9.0	816.4	0.0	0.0	0.0	0.0																						
																																	
"#Stim on 7 and 8, Used 7 as location"																																	
pig10_2+001_3657_3686_Pos04_LVEndo	pig10_2+001_3657_3686_Pos04Endo																																
LVEndo																																	
15.2	-8.6	783.8	9.8	-9.1	783.8																												
'Epi'	'Epi1'	-73.6	9.8	793.3	-58.2	8.6	797.4	0.0	0.0	0.0																							
'Epi'	'Epi2'	-57.0	12.8	787.0	-53.4	12.5	788.7	0.0	0.0	0.0																							
'Epi'	'Epi3'	-49.5	10.2	781.1	-49.0	10.1	782.0	0.0	0.0	0.0	42.0																						
'Epi'	'Epi4'	-48.4	8.3	779.1	-47.4	8.1	780.8	0.0	0.0	0.0																							
'Epi'	'Epi5'	-41.0	2.0	775.9	-40.2	2.2	778.0	0.0	0.0	0.0	18.0																						
'Epi'	'Epi6'	-38.3	-0.2	776.4	-37.9	-0.1	777.3	0.0	0.0	0.0																							
'Epi'	'Epi7'	-35.8	-10.0	778.1	-35.6	-9.8	778.7	0.0	0.0	0.0	5.0																						
'Epi'	'Epi8'	-32.2	-12.0	780.4	-33.0	-12.6	778.7	0.0	0.0	0.0																							
'Epi'	'Epi9'	-35.8	-19.0	787.3	-36.7	-21.1	784.1	0.0	0.0	0.0	30.0																						
'Epi'	'Epi10'	-37.3	-20.9	789.4	-38.1	-24.2	787.5	0.0	0.0	0.0																							
'Epi'	'Epi11'	-39.2	-27.4	797.7	-39.4	-28.1	797.1	0.0	0.0	0.0	60.0																						
'Epi'	'Epi12'	-42.7	-28.1	799.8	-42.9	-28.3	799.7	0.0	0.0	0.0																							
'Epi'	'Epi13'	-45.1	-33.4	809.9	-44.8	-33.3	809.9	0.0	0.0	0.0	58.0																						
'Epi'	'Epi14'	-46.0	-34.1	812.4	-44.8	-34.0	812.4	0.0	0.0	0.0																							
'Epi'	'Epi15'	-50.6	-36.0	822.7	-43.0	-33.8	820.5	0.0	0.0	0.0																							
'Epi'	'Epi16'	-50.9	-37.0	825.6	-42.1	-34.6	822.2	0.0	0.0	0.0																							
'Epi'	'Epi18'	-51.7	-40.5	839.0	-38.0	-39.6	829.2	0.0	0.0	0.0																							
'Epi'	'Epi19'	-47.7	-42.6	848.1	-35.7	-43.5	832.1	0.0	0.0	0.0																							
'Epi'	'Epi20'	-46.5	-41.8	851.6	-34.9	-44.5	832.7	0.0	0.0	0.0																							
'LVEndo'	'LVEndo1'	15.2	-8.6	783.8	9.8	-9.1	783.8	0.0	0.0	0.0	0.0																						
'LVEndo'	'LVEndo2'	9.5	-5.1	783.1	9.5	-5.1	783.1	0.0	0.0	0.0																							
'LVEndo'	'LVEndo3'	3.7	-2.6	783.3	9.3	-2.3	783.4	0.0	0.0	0.0																							
'LVEndo'	'LVEndo4'	0.7	-0.3	783.8	0.3	3.3	777.7	0.0	0.0	0.0																							
																																	
